page,chart,masked_text,bbox
61,Pavo,PAVO,"(280.0752868652344, 377.29931640625, 310.26727294921875, 390.27130126953125)"
61,Pavo,TELESCOPIUM,"(254.63528442382812, 238.74729919433594, 336.96722412109375, 251.71929931640625)"
61,Pavo,AUSTRALE,"(443.40728759765625, 493.38726806640625, 502.80731201171875, 506.3592834472656)"
61,Pavo,TRIANGULUM,"(421.9740905761719, 480.78912353515625, 500.550048828125, 493.7611083984375)"
61,Pavo,TUCANA,"(102.99008178710938, 446.7091064453125, 151.24208068847656, 459.6811218261719)"
62,Pegasus,ANDROMEDA,"(142.77639770507812, 295.43023681640625, 220.42837524414062, 308.4022216796875)"
62,Pegasus,AQUARIUS,"(266.73638916015625, 524.2102661132812, 327.5763854980469, 537.1822509765625)"
62,Pegasus,CYGNUS,"(433.0924072265625, 299.53424072265625, 480.96044921875, 312.5062255859375)"
62,Pegasus,DELPHINUS,"(411.20440673828125, 394.07025146484375, 478.48834228515625, 407.042236328125)"
62,Pegasus,EQUULEUS,"(382.2484130859375, 478.9942626953125, 444.8763732910156, 491.96624755859375)"
62,Pegasus,LACERTA,"(282.6244201660156, 264.6502685546875, 333.42041015625, 277.62225341796875)"
62,Pegasus,PEGASUS,"(290.3044128417969, 395.5462646484375, 343.62042236328125, 408.51824951171875)"
62,Pegasus,PISCES,"(117.63819885253906, 464.80181884765625, 157.22621154785156, 477.7738037109375)"
62,Pegasus,VULPECULA,"(401.47418212890625, 362.86181640625, 470.3301086425781, 375.83380126953125)"
63,Perseus,AURIGA,"(105.07859802246094, 388.62994384765625, 149.5745849609375, 401.6019287109375)"
63,Perseus,CAMELOPARDALIS,"(163.5305938720703, 236.4579315185547, 270.2106018066406, 249.429931640625)"
63,Perseus,PERSEUS,"(218.5865936279297, 395.49395751953125, 269.526611328125, 408.4659423828125)"
63,Perseus,TRIANGULUM,"(413.46661376953125, 487.1739501953125, 492.0426025390625, 500.14593505859375)"
63,Perseus,CASSIOPEIA,"(335.98388671875, 241.4438934326172, 405.8118896484375, 254.4158935546875)"
63,Perseus,TAURUS,"(171.29588317871094, 556.035888671875, 216.59588623046875, 569.0078735351562)"
63,Perseus,ARIES,"(427.45989990234375, 572.7879028320312, 460.33990478515625, 585.7598876953125)"
63,Perseus,ANDROMEDA,"(407.263916015625, 371.79986572265625, 484.9159240722656, 384.7718811035156)"
64,Phoenix,HOROLOGIUM,"(115.97850036621094, 472.4501953125, 198.73048400878906, 485.4222106933594)"
64,Phoenix,PHOENIX,"(342.27447509765625, 447.8621826171875, 394.83441162109375, 460.8341979980469)"
64,Phoenix,RETICU,"(93.62246704101562, 513.730224609375, 140.45848083496094, 526.7022094726562)"
64,Phoenix,LUM,"(104.8304672241211, 526.834228515625, 129.23846435546875, 539.8062133789062)"
64,Phoenix,SCULPTOR,"(320.87847900390625, 266.49420166015625, 381.814453125, 279.4661865234375)"
64,Phoenix,TUCANA,"(366.74249267578125, 515.3021850585938, 414.9945068359375, 528.274169921875)"
64,Phoenix,ERIDANUS,"(97.8926010131836, 380.6201171875, 157.89260864257812, 393.59210205078125)"
64,Phoenix,FORNAX,"(129.75259399414062, 307.80413818359375, 177.50059509277344, 320.776123046875)"
64,Phoenix,GRUS,"(454.6045837402344, 479.6561279296875, 485.6845703125, 492.62811279296875)"
64,Phoenix,HYDRUS,"(223.32858276367188, 585.004150390625, 271.3045654296875, 597.9761352539062)"
65,Pictor,CAELUM,"(410.533203125, 245.3970184326172, 458.4132080078125, 258.3690185546875)"
65,Pictor,COLUMBA,"(285.0491943359375, 271.20904541015625, 342.58917236328125, 284.1810302734375)"
65,Pictor,DORADO,"(337.8132019042969, 469.197021484375, 389.7372131347656, 482.1690368652344)"
65,Pictor,PICTOR,"(287.90521240234375, 350.39703369140625, 330.43316650390625, 363.3690490722656)"
65,Pictor,RETICULUM,"(406.2972106933594, 546.4890747070312, 473.857177734375, 559.4610595703125)"
65,Pictor,PUPPIS,"(156.44729614257812, 322.92041015625, 197.76329040527344, 335.8924255371094)"
65,Pictor,CARINA,"(110.34329223632812, 476.32843017578125, 154.52728271484375, 489.3004150390625)"
65,Pictor,VOLANS,"(167.1392822265625, 572.7124633789062, 214.23928833007812, 585.6844482421875)"
66,Pisces,ANDROMEDA,"(335.12060546875, 259.49224853515625, 412.7726135253906, 272.4642333984375)"
66,Pisces,AQUARIUS,"(354.5845947265625, 520.9122314453125, 415.4245910644531, 533.8842163085938)"
66,Pisces,ARIES,"(133.90460205078125, 367.876220703125, 166.78460693359375, 380.84820556640625)"
66,Pisces,CETUS,"(200.2165985107422, 502.66021728515625, 237.00860595703125, 515.6322021484375)"
66,Pisces,PEGASUS,"(347.276611328125, 350.6322021484375, 400.59259033203125, 363.60418701171875)"
66,Pisces,PISCES,"(270.8846130371094, 398.70416259765625, 310.47259521484375, 411.6761779785156)"
66,Pisces,TRIANGULUM,"(141.96861267089844, 285.13616943359375, 220.54461669921875, 298.108154296875)"
67,Piscis Austrinus,CAPRICORNUS,"(410.5434875488281, 334.37890625, 494.86749267578125, 347.3509216308594)"
67,Piscis Austrinus,GRUS,"(215.32748413085938, 555.3949584960938, 246.40748596191406, 568.366943359375)"
67,Piscis Austrinus,MICRO,"(437.90350341796875, 479.5189208984375, 481.9914855957031, 492.49090576171875)"
67,Piscis Austrinus,SCOPIUM,"(432.8034973144531, 497.0029296875, 487.10345458984375, 509.97491455078125)"
67,Piscis Austrinus,PISCIS AUSTRINUS,"(251.26748657226562, 464.8309326171875, 359.5074768066406, 477.80291748046875)"
67,Piscis Austrinus,SCULPTOR,"(98.25440216064453, 465.31451416015625, 159.19039916992188, 478.2865295410156)"
67,Piscis Austrinus,AQUARIUS,"(239.47039794921875, 233.3304901123047, 300.3103942871094, 246.302490234375)"
68,Puppis,CARINA,"(279.1611022949219, 600.3301391601562, 323.3451232910156, 613.3021240234375)"
68,Puppis,CANIS,"(377.1890869140625, 337.5421142578125, 412.43310546875, 350.51409912109375)"
68,Puppis,MAJOR,"(374.5130920410156, 350.6461181640625, 415.1091003417969, 363.61810302734375)"
68,Puppis,COLUMBA,"(388.5531005859375, 461.86212158203125, 446.09307861328125, 474.8341064453125)"
68,Puppis,MONOCEROS,"(258.4371032714844, 158.7061004638672, 335.21307373046875, 171.6781005859375)"
68,Puppis,PICTOR,"(445.4450988769531, 613.1580810546875, 487.9730529785156, 626.1300659179688)"
68,Puppis,PUPPIS,"(247.32510375976562, 393.35406494140625, 288.6410827636719, 406.3260803222656)"
68,Puppis,PYXIS,"(133.51759338378906, 340.8356628417969, 169.2860565185547, 355.0041198730469)"
68,Puppis,VELA,"(125.62010192871094, 556.7334594726562, 154.30010986328125, 569.7054443359375)"
68,Puppis,HYDRA,"(124.61209869384766, 173.23741149902344, 165.02809143066406, 186.20941162109375)"
69,Pyxis,HYDRA,"(159.91209411621094, 282.97662353515625, 200.32809448242188, 295.9486083984375)"
69,Pyxis,PUPPIS,"(448.38006591796875, 460.33660888671875, 489.6960144042969, 473.30859375)"
69,Pyxis,PYXIS,"(289.3080749511719, 321.85662841796875, 322.0560607910156, 334.82861328125)"
69,Pyxis,ANTLIA,"(153.45559692382812, 466.72271728515625, 195.6595916748047, 479.6947021484375)"
69,Pyxis,VELA,"(189.76759338378906, 572.2387084960938, 218.44760131835938, 585.210693359375)"
70,Reticulum,DORADO,"(178.3271026611328, 442.33990478515625, 230.2510986328125, 455.3119201660156)"
70,Reticulum,HOROLOGIUM,"(299.86309814453125, 279.0439453125, 382.61505126953125, 292.01593017578125)"
70,Reticulum,HYDRUS,"(365.98309326171875, 566.251953125, 413.9591064453125, 579.2239379882812)"
70,Reticulum,PICTOR,"(101.839111328125, 297.35595703125, 144.3671112060547, 310.32794189453125)"
70,Reticulum,RETICULUM,"(279.1631164550781, 378.6319580078125, 346.72308349609375, 391.60394287109375)"
70,Reticulum,ERIDANUS,"(417.8324890136719, 238.4980926513672, 477.8324890136719, 251.4700927734375)"
70,Reticulum,MENSA,"(204.12448120117188, 564.1061401367188, 244.87648010253906, 577.078125)"
71,Sagitta,AQUILA,"(279.4482116699219, 537.3467407226562, 323.7281799316406, 550.3187255859375)"
71,Sagitta,CYGNUS,"(122.668212890625, 241.2107391357422, 170.5362091064453, 254.1827392578125)"
71,Sagitta,LYRA,"(328.69622802734375, 242.42271423339844, 356.52423095703125, 255.39471435546875)"
71,Sagitta,SAGIT TA,"(305.3922119140625, 425.1107177734375, 354.3762512207031, 438.08270263671875)"
71,Sagitta,VULPECULA,"(269.7042236328125, 370.82269287109375, 338.5601501464844, 383.7947082519531)"
71,Sagitta,DEL,"(117.37349700927734, 418.97900390625, 144.0255126953125, 431.9510192871094)"
71,Sagitta,PHINUS,"(108.57749938964844, 429.9830322265625, 152.83349609375, 442.95501708984375)"
71,Sagitta,HERCULES,"(413.25750732421875, 457.2950439453125, 473.5094909667969, 470.26702880859375)"
72,Sagittarius,ARA,"(401.279296875, 570.5684204101562, 424.1393127441406, 583.5404052734375)"
72,Sagittarius,CORONA,"(300.28729248046875, 499.84039306640625, 350.6272888183594, 512.8123779296875)"
72,Sagittarius,AUSTRALIS,"(293.6632995605469, 512.9443969726562, 357.2513122558594, 525.9163818359375)"
72,Sagittarius,INDUS,"(119.63929748535156, 581.4164428710938, 156.5872802734375, 594.388427734375)"
72,Sagittarius,SCUTUM,"(314.26727294921875, 249.6404266357422, 363.6712646484375, 262.6124267578125)"
72,Sagittarius,SERPENS CAUDA,"(402.21527099609375, 260.10443115234375, 499.31927490234375, 273.076416015625)"
72,Sagittarius,SAGIT TARIUS,"(212.603271484375, 433.1444091796875, 289.4632873535156, 446.1164245605469)"
72,Sagittarius,TELESCOPIUM,"(207.89927673339844, 551.2964477539062, 290.23126220703125, 564.2684326171875)"
72,Sagittarius,AQUILA,"(202.27830505371094, 214.7808074951172, 246.5583038330078, 227.7528076171875)"
72,Sagittarius,CAPRI,"(106.89030456542969, 356.548828125, 146.4423065185547, 369.52081298828125)"
72,Sagittarius,CORNUS,"(102.43830871582031, 369.65283203125, 150.89430236816406, 382.62481689453125)"
72,Sagittarius,SCORPIUS,"(432.46234130859375, 456.5328369140625, 490.7103271484375, 469.50482177734375)"
73,Scorpius,ARA,"(189.59280395507812, 581.4854125976562, 212.4528045654297, 594.4573974609375)"
73,Scorpius,LIBRA,"(454.6968078613281, 381.90142822265625, 487.9367980957031, 394.8734130859375)"
73,Scorpius,LUPUS,"(431.38079833984375, 464.56939697265625, 468.436767578125, 477.5414123535156)"
73,Scorpius,NORMA,"(316.1328125, 608.1134643554688, 359.9447937011719, 621.08544921875)"
73,Scorpius,OPHIUCHUS,"(162.79681396484375, 221.6533660888672, 233.44082641601562, 234.6253662109375)"
73,Scorpius,SCORPIUS,"(301.8408203125, 437.4013671875, 360.08880615234375, 450.37335205078125)"
73,Scorpius,SERPENS CAUDA,"(104.1168212890625, 284.22137451171875, 201.22080993652344, 297.193359375)"
73,Scorpius,SAGIT TARIUS,"(91.70210266113281, 343.44970703125, 168.5620880126953, 356.4217224121094)"
73,Scorpius,SERPENS CAPUT,"(370.798095703125, 152.6737518310547, 465.4300537109375, 165.645751953125)"
74,Sculptor,CETUS,"(181.9394989013672, 246.36143493652344, 218.73150634765625, 259.33343505859375)"
74,Sculptor,GRUS,"(448.31549072265625, 515.9774780273438, 479.3955078125, 528.949462890625)"
74,Sculptor,PHOENIX,"(214.41148376464844, 502.65740966796875, 266.97149658203125, 515.62939453125)"
74,Sculptor,SCULPTOR,"(213.5474853515625, 418.4774169921875, 274.4834899902344, 431.4494323730469)"
74,Sculptor,FORNAX,"(99.57469940185547, 428.91900634765625, 147.32269287109375, 441.8910217285156)"
74,Sculptor,AQUARIUS,"(380.6627197265625, 328.88702392578125, 441.5027160644531, 341.8590087890625)"
75,Scutum,AQUILA,"(155.6938018798828, 341.8876953125, 199.9738006591797, 354.8597106933594)"
75,Scutum,OPHIUCHUS,"(378.173828125, 187.80772399902344, 448.8177795410156, 200.77972412109375)"
75,Scutum,SCUTUM,"(259.7098388671875, 414.73974609375, 309.11383056640625, 427.71173095703125)"
75,Scutum,SERPENS,"(390.3178405761719, 414.16375732421875, 441.3898010253906, 427.1357421875)"
75,Scutum,CAUDA,"(395.3698425292969, 431.6357421875, 436.337890625, 444.60772705078125)"
75,Scutum,SAGIT TARIUS,"(118.94985961914062, 593.2637329101562, 195.8098602294922, 606.2357177734375)"
76,Serpens Caput,BOOTES,"(428.52099609375, 258.5078125, 474.52899169921875, 271.47979736328125)"
76,Serpens Caput,SERPENS,"(315.92498779296875, 411.09979248046875, 366.9969482421875, 424.07177734375)"
76,Serpens Caput,CAPUT,"(322.2129821777344, 422.103759765625, 360.708984375, 435.0757751464844)"
76,Serpens Caput,OPHIUCHUS,"(129.89889526367188, 579.0215454101562, 200.54290771484375, 591.9935302734375)"
76,Serpens Caput,HERCULES,"(118.618896484375, 230.4335174560547, 178.87091064453125, 243.405517578125)"
76,Serpens Caput,CORONA,"(253.6428985595703, 151.82151794433594, 303.9828796386719, 164.79351806640625)"
76,Serpens Caput,BOREALIS,"(250.45089721679688, 162.82554626464844, 307.1868896484375, 175.79754638671875)"
76,Serpens Caput,VIRGO,"(443.87890625, 462.5135498046875, 480.7548828125, 475.4855651855469)"
76,Serpens Caput,LIBRA,"(270.0469055175781, 587.517578125, 303.2868957519531, 600.4895629882812)"
77,Serpens Cauda,OPHIUCHUS,"(403.8930969238281, 253.74913024902344, 474.53704833984375, 266.72113037109375)"
77,Serpens Cauda,SCUTUM,"(180.3210906982422, 468.4171142578125, 229.72509765625, 481.3891296386719)"
77,Serpens Cauda,SERPENS CAUDA,"(291.7890930175781, 462.34515380859375, 388.8930969238281, 475.317138671875)"
77,Serpens Cauda,SAGIT TARIUS,"(109.86909484863281, 603.0811157226562, 186.72911071777344, 616.0531005859375)"
77,Serpens Cauda,AQUILA,"(132.96290588378906, 345.62261962890625, 177.24290466308594, 358.5946044921875)"
77,Serpens Cauda,HERCULES,"(179.1029052734375, 144.3945770263672, 239.35491943359375, 157.3665771484375)"
78,Sextans,CRATER,"(102.05370330810547, 528.3848266601562, 145.75770568847656, 541.3568115234375)"
78,Sextans,HYDRA,"(351.8576965332031, 536.7488403320312, 392.2737121582031, 549.7208251953125)"
78,Sextans,LEO,"(227.02169799804688, 237.4928436279297, 248.86170959472656, 250.46484375)"
78,Sextans,SEXTANS,"(267.293701171875, 371.42486572265625, 318.5816955566406, 384.3968505859375)"
78,Sextans,CANCER,"(438.3481140136719, 229.2212371826172, 485.2201232910156, 242.1932373046875)"
79,Taurus,ORION,"(218.80320739746094, 503.28326416015625, 257.251220703125, 516.2552490234375)"
79,Taurus,TAURUS,"(396.69122314453125, 403.69525146484375, 441.9912414550781, 416.667236328125)"
79,Taurus,PERSEUS,"(319.9902038574219, 221.7344207763672, 370.93017578125, 234.7064208984375)"
79,Taurus,AURIGA,"(100.53421020507812, 227.9264373779297, 145.03021240234375, 240.8984375)"
79,Taurus,ERIDANUS,"(433.8102111816406, 562.9304809570312, 493.8102111816406, 575.9024658203125)"
79,Taurus,ARIES,"(461.8569030761719, 334.2420349121094, 497.7755432128906, 348.4128723144531)"
80,Telescopium,ARA,"(442.6986999511719, 458.8212890625, 465.5587158203125, 471.7933044433594)"
80,Telescopium,CORONA,"(349.3027038574219, 317.02935791015625, 399.6427001953125, 330.0013427734375)"
80,Telescopium,AUSTRALIS,"(342.6787109375, 330.13336181640625, 406.2667236328125, 343.1053466796875)"
80,Telescopium,INDUS,"(96.6427001953125, 452.94134521484375, 133.5906982421875, 465.913330078125)"
80,Telescopium,MICROSCOPIUM,"(106.2667007446289, 296.43731689453125, 200.97068786621094, 309.4093017578125)"
80,Telescopium,PAVO,"(263.99468994140625, 505.84930419921875, 294.1866760253906, 518.8212890625)"
80,Telescopium,SAGIT TARIUS,"(241.79469299316406, 255.09727478027344, 318.65472412109375, 268.06927490234375)"
80,Telescopium,TELESCOPIUM,"(219.71469116210938, 394.57330322265625, 302.046630859375, 407.5452880859375)"
80,Telescopium,SCORPIUS,"(445.3544921875, 293.22760009765625, 503.60247802734375, 306.1995849609375)"
81,Triangulum,ANDROMEDA,"(332.98968505859375, 319.75982666015625, 410.6416931152344, 332.7318115234375)"
81,Triangulum,ARIES,"(218.97767639160156, 509.23980712890625, 251.857666015625, 522.2117919921875)"
81,Triangulum,TRIANGULUM,"(248.32968139648438, 411.66778564453125, 326.9056396484375, 424.6398010253906)"
81,Triangulum,PERSEUS,"(101.87940216064453, 336.89068603515625, 152.8194122314453, 349.8627014160156)"
81,Triangulum,PISCES,"(352.6913757324219, 498.05072021484375, 392.27935791015625, 511.022705078125)"
82,Triangulum Australe,APUS,"(291.5390930175781, 537.5791625976562, 321.8031005859375, 550.5511474609375)"
82,Triangulum Australe,ARA,"(158.48309326171875, 286.359130859375, 181.3430938720703, 299.33111572265625)"
82,Triangulum Australe,CIRCINUS,"(352.73907470703125, 310.0831298828125, 408.7190856933594, 323.05511474609375)"
82,Triangulum Australe,MUSCA,"(445.9070739746094, 569.4271240234375, 487.5830993652344, 582.3991088867188)"
82,Triangulum Australe,TRIANGULUM,"(257.32708740234375, 350.95513916015625, 335.903076171875, 363.9271240234375)"
82,Triangulum Australe,AUSTRALE,"(266.91510009765625, 361.9591064453125, 326.31512451171875, 374.9311218261719)"
82,Triangulum Australe,PAVO,"(105.17970275878906, 437.79302978515625, 135.3717041015625, 450.7650146484375)"
82,Triangulum Australe,CENTAURUS,"(416.32769775390625, 397.30499267578125, 485.8316955566406, 410.2770080566406)"
82,Triangulum Australe,NORMA,"(267.335693359375, 236.4690399169922, 311.1476745605469, 249.4410400390625)"
82,Triangulum Australe,LUPUS,"(410.60369873046875, 281.9610595703125, 447.65966796875, 294.93304443359375)"
83,Tucana,HYDRUS,"(163.19679260253906, 566.5098266601562, 211.17279052734375, 579.4818115234375)"
83,Tucana,OCTANS,"(313.7727966308594, 548.0057983398438, 360.5248107910156, 560.977783203125)"
83,Tucana,PHOENIX,"(196.61680603027344, 262.51385498046875, 249.1768035888672, 275.48583984375)"
83,Tucana,TUCANA,"(317.67279052734375, 409.16583251953125, 365.9248046875, 422.1378173828125)"
83,Tucana,INDUS,"(356.0566101074219, 468.95562744140625, 393.0046081542969, 481.9276123046875)"
83,Tucana,GRUS,"(420.484619140625, 279.943603515625, 451.56463623046875, 292.91558837890625)"
84,Ursa Major,COMA BERENICES,"(94.4384994506836, 522.0000610351562, 197.91452026367188, 534.9720458984375)"
84,Ursa Major,CANES,"(102.0824966430664, 440.30401611328125, 140.17050170898438, 453.2760009765625)"
84,Ursa Major,VENATICI,"(94.31849670410156, 451.3079833984375, 147.92250061035156, 464.2799987792969)"
84,Ursa Major,LEO MINOR,"(342.802490234375, 470.07598876953125, 409.4984130859375, 483.0480041503906)"
84,Ursa Major,LYNX,"(442.594482421875, 320.74798583984375, 471.094482421875, 333.7200012207031)"
84,Ursa Major,URSA MAJOR,"(279.094482421875, 408.64801025390625, 355.21051025390625, 421.6199951171875)"
84,Ursa Major,BOOTES,"(98.91549682617188, 315.78765869140625, 144.92349243164062, 328.7596435546875)"
84,Ursa Major,DRACO,"(95.72349548339844, 271.4476318359375, 136.47549438476562, 284.41961669921875)"
84,Ursa Major,CAMELOPARDALIS,"(371.83148193359375, 234.0555877685547, 478.511474609375, 247.027587890625)"
84,Ursa Major,LEO,"(404.927490234375, 547.8676147460938, 426.7674560546875, 560.839599609375)"
84,Ursa Major,CANCER,"(459.02349853515625, 500.91156005859375, 505.8955078125, 513.883544921875)"
85,Ursa Minor,DRACO,"(115.66259765625, 598.3818969726562, 156.4145965576172, 611.3538818359375)"
85,Ursa Minor,URSA,"(312.3666076660156, 511.2379150390625, 342.8226318359375, 524.2098999023438)"
85,Ursa Minor,MINOR,"(307.6986083984375, 522.2418823242188, 347.4905700683594, 535.2138671875)"
85,Ursa Minor,CEPHEUS,"(103.50830078125, 240.6919403076172, 156.76429748535156, 253.6639404296875)"
85,Ursa Minor,CAMELO,"(419.2523193359375, 241.80796813964844, 472.8682861328125, 254.77996826171875)"
85,Ursa Minor,PARDALIS,"(417.6803283691406, 252.81199645996094, 474.4283447265625, 265.78399658203125)"
85,Ursa Minor,URSA,"(417.2003173828125, 605.7319946289062, 447.6563415527344, 618.7039794921875)"
85,Ursa Minor,MAJOR,"(412.12432861328125, 623.2039794921875, 452.7203369140625, 636.1759643554688)"
86,Vela,ANTLIA,"(201.24659729003906, 295.97662353515625, 243.4506072998047, 308.9486083984375)"
86,Vela,CARINA,"(284.58660888671875, 536.8406372070312, 328.7706298828125, 549.8126220703125)"
86,Vela,CRUX,"(107.91061401367188, 528.0206298828125, 138.83460998535156, 540.9926147460938)"
86,Vela,PUPPIS,"(448.6626281738281, 252.5846405029297, 489.97857666015625, 265.556640625)"
86,Vela,PYXIS,"(332.50262451171875, 262.85662841796875, 365.2506103515625, 275.82861328125)"
86,Vela,VELA,"(292.1346130371094, 393.23663330078125, 320.8145751953125, 406.2086181640625)"
86,Vela,CENTAURUS,"(93.34619903564453, 405.212890625, 162.85020446777344, 418.1849060058594)"
87,Virgo,CRATER,"(446.34368896484375, 491.337890625, 490.04766845703125, 504.3099060058594)"
87,Virgo,CORVUS,"(348.44769287109375, 489.48992919921875, 395.7996826171875, 502.4619140625)"
87,Virgo,LIBRA,"(144.5196990966797, 510.21392822265625, 177.75970458984375, 523.1859130859375)"
87,Virgo,VIRGO,"(282.4716796875, 358.6658935546875, 319.34765625, 371.6379089355469)"
87,Virgo,LEO,"(454.9458923339844, 261.2327880859375, 474.0318908691406, 272.56903076171875)"
87,Virgo,BOOTES,"(167.44430541992188, 304.74176025390625, 213.45230102539062, 317.7137451171875)"
87,Virgo,COMA BERENICES,"(290.768310546875, 249.97373962402344, 394.2442626953125, 262.94573974609375)"
88,Volans,CARINA,"(352.7890930175781, 241.6177215576172, 396.9731140136719, 254.5897216796875)"
88,Volans,CHAMAELEON,"(171.85308837890625, 565.677734375, 254.173095703125, 578.6497192382812)"
88,Volans,MENSA,"(357.9610900878906, 495.7657470703125, 398.71307373046875, 508.73773193359375)"
88,Volans,VOLANS,"(325.6571044921875, 369.03375244140625, 372.757080078125, 382.0057373046875)"
88,Volans,DORADO,"(412.7880859375, 411.6368408203125, 464.71209716796875, 424.60882568359375)"
89,Vulpecula,AQUILA,"(360.7568054199219, 560.9932250976562, 405.0367736816406, 573.9652099609375)"
89,Vulpecula,CYGNUS,"(277.9208068847656, 211.5652313232422, 325.788818359375, 224.5372314453125)"
89,Vulpecula,DELPHINUS,"(221.59280395507812, 447.377197265625, 288.8768005371094, 460.3492126464844)"
89,Vulpecula,EQUULEUS,"(149.1728057861328, 518.5492553710938, 211.80079650878906, 531.521240234375)"
89,Vulpecula,LYRA,"(408.8408203125, 290.5732421875, 436.6688232421875, 303.54522705078125)"
89,Vulpecula,SAGIT TA,"(392.71282958984375, 437.75323486328125, 441.6968688964844, 450.7252197265625)"
89,Vulpecula,VULPECULA,"(187.30882263183594, 385.2772216796875, 256.16485595703125, 398.24920654296875)"
89,Vulpecula,PEGASUS,"(129.5, 451.24420166015625, 182.8159942626953, 464.2162170410156)"
